evidence_id,legacy_section,legacy_2v_entry_or_range,source_repository,source_commit,record_path,record_type,materiality,what_it_establishes,what_it_does_not_establish,current_validity,superseded_by,durable_control,one_time_procedure,classification,consolidation_target,future_phase,curated_2v_reference,retention_rationale,owner_disposition
EXP-01-A,Exploratory model development,NO_DIRECT_FUNCTIONAL_2v_MAPPING;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,README.md,ORIENTATION_DOCUMENT,HIGH,Defines the exploratory repository as a pre-validation research workspace and records promotion boundaries.,"Does not establish validation, candidacy, deployment readiness, or current authorization.",VALID_HISTORICAL_SCOPE_AND_PROMOTION_BOUNDARY,Canonical PROJECT_CONTEXT.md and later validation dispositions for current state.,Separate exploration from validation and prohibit automatic promotion.,Original exploratory notebook organization and usage guidance.,CARRY_FORWARD,C1_REPORT/EXPLORATORY_SCOPE_AND_PROMOTION_BOUNDARY,C2_CANONICAL_REPOSITORY_SKELETON_AND_MIGRATION_PREPARATION,NO_DIRECT_FUNCTIONAL_2v_MAPPING,Concise durable statement of the repository role and its limits.,PENDING
EXP-01-B,Exploratory model development,MIXED_RECORD_GROUP;CONTEXTUAL_2v.10_2v.30_2v.40_2v.70_2v.80_2v.90_2v.100;UNRESOLVED_2v.50;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,Day_Trading_ML_Overview.md,HISTORICAL_RESEARCH_OVERVIEW,HIGH,"Summarizes historical models, datasets, features, preliminary evaluation, and intended uses.","Does not establish reproducibility, current accepted performance, or current candidate status.",PARTIALLY_VALID_HISTORICAL_SUMMARY,Structured validation records and canonical governance.,"Retain model-family breadth, negative findings, and fair-comparison requirements.","Historical overview metrics, setup descriptions, and screenshots.",SUMMARIZE_AND_REFERENCE,C1_REPORT/EXPLORATORY_MODEL_CATALOG_AND_FINDINGS,C13_PUBLICATION_RELEASE,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40;2v.70;2v.80;2v.90;2v.100;UNRESOLVED_MAPPING:2v.50,Useful high-level catalog whose claims require evidence-specific qualification.,PENDING
EXP-01-C,Exploratory model development,DIRECT_2v.10_2v.30_2v.40;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,initial_day_trading_apple.ipynb,EXPLORATORY_NOTEBOOK,MEDIUM,"Implements early hourly data download, schema normalization, and single-symbol exploration.","Does not establish an accepted provider, provenance, data contract, validation result, or reproducible environment.",HISTORICAL_PROTOTYPE_ONLY,Later multi-stock data work and canonical C5 through C7 decisions.,Preserve schema-normalization lessons and explicit source limitations.,Direct yfinance download and notebook-specific cleanup.,HISTORICAL_ARCHIVE_ONLY,C1_REPORT/EARLY_DATA_PROTOTYPES,C5_DATA_SOURCE_CALENDAR_AND_INITIAL_UNIVERSE_DECISION,DIRECT_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40,Retains an early data prototype without recommending reuse.,PENDING
EXP-01-D,Exploratory model development,DIRECT_2v.10_2v.40;UNRESOLVED_2v.50;CONTEXTUAL_2v.60;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,Feature_Engineering_Trading.ipynb,FEATURE_AND_MODEL_EXPERIMENT_NOTEBOOK,HIGH,"Contains candidate feature formulas, named leakage exclusions, split logic, and Random Forest baseline experimentation.","Does not establish fully leakage-safe timing, stable environment identity, or accepted performance.",VALID_AS_DESIGN_INPUT_NOT_EXECUTABLE_BASELINE,Later no-lookahead controls and future canonical data contract.,"Retain feature definitions, explicit leakage exclusions, and deterministic transformations.","RAPIDS, Drive, and notebook-bound training procedure.",CARRY_FORWARD,C1_MANIFEST/FEATURE_ENGINEERING_AND_LEAKAGE_CONTROLS,C6_DATASET_CONTRACT_FREEZE,DIRECT_FUNCTIONAL_MAPPING:2v.10;2v.40;UNRESOLVED_MAPPING:2v.50;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.60,Material design evidence requiring reimplementation and validation.,PENDING
EXP-01-D1,Exploratory model development,DIRECT_2v.10_2v.40;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,Feature_Engineering_Trading.ipynb,FEATURE_AND_RF_EXPERIMENT_NOTEBOOK,HIGH,"Implements candidate feature formulas, explicit exclusions, labeling, and Random Forest experimentation.","Does not establish chronological evaluation, walk-forward validation, complete leakage safety, or accepted performance.",VALID_AS_DESIGN_INPUT_REQUIRING_REIMPLEMENTATION,Later no-lookahead and canonical dataset and validation controls.,Separate reusable feature logic from model fitting and validation.,Notebook-local RF fitting and environment assumptions.,CARRY_FORWARD,C1_MANIFEST/FEATURE_ENGINEERING_AND_LEAKAGE_DESIGN_INPUT,C6_DATASET_CONTRACT_FREEZE,DIRECT_FUNCTIONAL_MAPPING:2v.10;2v.40,Distinct feature and model-design use of the shared notebook.,PENDING
EXP-01-D2,Exploratory model development,UNRESOLVED_2v.50;CONTEXTUAL_2v.60;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,Feature_Engineering_Trading.ipynb,VALIDATION_LIMITATION_RECORD,HIGH,Shows a randomized 70/30 split without a chronological boundary.,"Does not establish out-of-sample, walk-forward, or no-lookahead validity.",VALID_NEGATIVE_EVIDENCE_AND_SUPERSEDED_PRACTICE,"Chronological walk-forward, embargo, and no-lookahead requirements.",Require time-based partitioning and explicit leakage controls.,Historical randomized train_test_split use.,OBSOLETE_OR_SUPERSEDED,C1_REPORT/VALIDATION_ANTI_PATTERNS_AND_CORRECTIONS,C6_DATASET_CONTRACT_FREEZE,UNRESOLVED_MAPPING:2v.50;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.60,Distinct negative-evidence use of the shared notebook.,PENDING
EXP-01-E,Exploratory model development,DIRECT_2v.80;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,Model_Selector_v4.ipynb,MODEL_SELECTION_NOTEBOOK,HIGH,"Implements early cross-family metric harmonization, scoring, gates, incumbent comparison, and false-discovery concepts.","Does not establish an accepted promotion rule, common evaluation package, or untouched holdout.",RESEARCH_DESIGN_INPUT_ONLY,"Canonical C12 candidate freeze, common holdout, and promotion decision.","Retain comparable metrics, hard gates, incumbent switching, and multiple-testing awareness.",Drive-based CSV aggregation and notebook selector procedure.,SUMMARIZE_AND_REFERENCE,C1_REPORT/CANDIDATE_SELECTION_LESSONS,C12_ELIGIBLE_CANDIDATE_FREEZE_SHARED_FINAL_HOLDOUT_AND_PROMOTION_DECISION,DIRECT_FUNCTIONAL_MAPPING:2v.80,Important selector precursor that must not be adopted directly.,PENDING
EXP-01-F,Exploratory model development,DIRECT_2v.10;CONTEXTUAL_2v.70;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,aapl_dqn_training_v1.ipynb,RL_EXPERIMENT_NOTEBOOK,MEDIUM,Documents DQN implementation and time-series experimentation as an alternative model family.,Does not establish a qualified DQN candidate or direct canonical relevance.,HISTORICAL_NON_TARGET_MODEL_EVIDENCE,"Current PPO, RF, and XGBoost roadmap.",Retain alternative-model and negative-result evidence.,"TensorFlow, RAPIDS, protobuf, and Colab repair steps.",HISTORICAL_ARCHIVE_ONLY,C1_REPORT/ALTERNATIVE_MODEL_FAMILIES,C13_PUBLICATION_RELEASE,DIRECT_FUNCTIONAL_MAPPING:2v.10;CONTEXTUAL_FUNCTIONAL_MAPPING:2v.70,Preserves model-family breadth without expanding the current roadmap.,PENDING
EXP-01-G,Exploratory model development,DIRECT_2v.10_2v.30_2v.40_2v.100;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,multi_stock_trading_dataset_pipeline.ipynb,MULTI_STOCK_DATASET_NOTEBOOK,HIGH,"Implements multi-symbol acquisition, preparation, feature generation, labeling, and broad-universe dataset work.","Does not establish accepted provider, universe, calendar, contract, validation, or environment identity.",DESIGN_PROVENANCE_ONLY,Governed reconstruction and canonical C5 through C7 decisions.,"Separate acquisition, schema, features, labels, validation, and evidence.",Notebook dependencies and direct downloads.,SUMMARIZE_AND_REFERENCE,C1_REPORT/EARLY_MULTI_STOCK_DATA_DESIGN,C6_DATASET_CONTRACT_FREEZE,DIRECT_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40;2v.100,Material antecedent for canonical multi-symbol data design.,PENDING
PPO-02-A,Legacy standalone PPO,MIXED_RECORD_GROUP;CONTEXTUAL_2v.10_2v.30_2v.40_2v.60_2v.70_2v.80_2v.90;UNRESOLVED_2v.50;EXACT_RANGE_NOT_YET_DETERMINED,racoope70/exploratory-daytrading,2d6f354451515ff07ff6d022ea989ade2bc7574a,exploratory-results/promoted-to-validation/ppo-model-2024-09/README.md,PROMOTED_RESEARCH_PACKAGE_ORIENTATION,HIGH,"Summarizes historical standalone-PPO architecture, workflow, artifacts, signal interface, risk concepts, and reported metrics.","Does not establish valid out-of-sample evaluation, complete provenance, current trading edge, or deployment readiness.",VALID_HISTORICAL_ARCHITECTURE_SUMMARY_WITH_SUPERSEDED_PROMOTION_LANGUAGE,v1.63 model-quality audit and v1.65 final audit decision.,Preserve architecture lineage while requiring independent validation before promotion.,"Historical Colab, QuantConnect, and external-signal workflow.",SUMMARIZE_AND_REFERENCE,C1_REPORT/LEGACY_STANDALONE_PPO_ARCHITECTURE,C8_PPO_V2_IMPLEMENTATION_READINESS,CONTEXTUAL_FUNCTIONAL_MAPPING:2v.10;2v.30;2v.40;2v.60;2v.70;2v.80;2v.90;UNRESOLVED_MAPPING:2v.50,Concise source for original intent but not accepted current status.,PENDING
